AFFILIATION_REGION,AUTHORS,HINDEX_MEDIAN,HINDEX_IQR,CITATIONS_MEDIAN,WORKS_MEDIAN
Outside Africa,2658,13.0,5.0-29.0,721.0,53.0
Africa,2663,5.0,2.0-11.0,100.0,16.0
