DOI
10.1002/brb3.3554
10.1007/s00034-024-02936-3
10.1007/s00500-024-09866-x
10.1007/s00521-023-09310-5
10.1007/s00521-025-11559-x
10.1007/s10586-025-05268-2
10.1007/s11036-024-02369-x
10.1007/s11042-023-18002-0
10.1007/s11042-024-18780-1
10.1007/s11042-025-20787-1
10.1007/s11042-025-20915-x
10.1007/s11042-025-21137-x
10.1007/s11063-024-11526-y
10.1007/s11468-024-02491-2
10.1007/s13278-023-01077-w
10.1007/s13369-025-10921-4
10.1007/s13755-025-00363-5
10.1007/s40031-024-01039-6
10.1007/s42452-025-06704-z
10.1007/s42600-023-00291-x
10.1007/s42979-024-03207-3
10.1007/s44155-025-00221-5
10.1016/j.aej.2024.01.043
10.1016/j.asej.2025.103600
10.1016/j.biopsych.2024.03.007
10.1016/j.bspc.2023.105128
10.1016/j.bspc.2023.105288
10.1016/j.bspc.2024.106120
10.1016/j.bspc.2024.107417
10.1016/j.bspc.2025.107620
10.1016/j.bspc.2025.108110
10.1016/j.clineuro.2025.108761
10.1016/j.cmpb.2025.109037
10.1016/j.compbiolchem.2025.108474
10.1016/j.compbiomed.2024.108117
10.1016/j.compbiomed.2025.109858
10.1016/j.compbiomed.2025.110302
10.1016/j.compbiomed.2025.110982
10.1016/j.cyto.2025.156882
10.1016/j.eij.2025.100786
10.1016/j.eswa.2024.124581
10.1016/j.fraope.2025.100248
10.1016/j.heliyon.2024.e35246
10.1016/j.imu.2024.101581
10.1016/j.imu.2025.101658
10.1016/j.jdent.2024.105318
10.1016/j.jrras.2025.101358
10.1016/j.mcpdig.2025.100248
10.1016/j.swevo.2024.101766
10.1038/s41467-024-49433-4
10.1038/s41598-023-50334-7
10.1038/s41598-024-51304-3
10.1038/s41598-024-74993-2
10.1038/s41598-024-75030-y
10.1038/s41598-024-83466-5
10.1038/s41598-025-00570-w
10.1038/s41598-025-09330-2
10.1038/s41598-025-13510-5
10.1038/s41598-025-20382-2
10.1038/s41598-025-28376-w
10.1038/s41598-025-91825-z
10.1038/s41598-025-96950-3
10.1039/d5ra00021a
10.1080/03091902.2024.2310157
10.1093/alcalc/agaf078
10.1093/bioadv/vbaf224
10.1093/eurpub/ckae144.1170
10.1093/qjmed/hcae175.947
10.1109/access.2024.3418553
10.1109/access.2025.3595187
10.1109/aiccsa59173.2023.10479282
10.1109/aiccsa63423.2024.10912538
10.1109/aicera/icis59538.2023.10420329
10.1109/atsip62566.2024.10639034
10.1109/ecai65401.2025.11095567
10.1109/esai62891.2024.10913851
10.1109/fllm63129.2024.10852441
10.1109/ic3i61595.2024.10829038
10.1109/icabcd59051.2023.10220453
10.1109/icci61671.2024.10485057
10.1109/iccit63348.2025.10989469
10.1109/iccsc62074.2024.10617320
10.1109/icds62089.2024.10756377
10.1109/icecet58911.2023.10389513
10.1109/iceem66692.2025.11225186
10.1109/iceeng64546.2025.11031282
10.1109/iceeng64546.2025.11031315
10.1109/icict62343.2024.00024
10.1109/icmisi65108.2025.11115362
10.1109/icoei56765.2023.10125918
10.1109/icsadl65848.2025.10933484
10.1109/ict-dm62768.2024.10798940
10.1109/ict4da67218.2025.11282666
10.1109/ictas64866.2025.11155502
10.1109/ictis62692.2024.10894546
10.1109/imsa58542.2023.10217379
10.1109/imsa58542.2023.10217744
10.1109/imsa65733.2025.11166826
10.1109/imsa65733.2025.11166876
10.1109/inista59065.2023.10310366
10.1109/iraset57153.2023.10153014
10.1109/isaect64333.2024.10799744
10.1109/iscmi63661.2024.10851578
10.1109/isivc61350.2024.10577908
10.1109/ispa59904.2024.10536832
10.1109/itc-egypt61547.2024.10620453
10.1109/itc-egypt61547.2024.10620494
10.1109/itc-egypt66095.2025.11186702
10.1109/miucc66482.2025.11196802
10.1109/miucc66482.2025.11196852
10.1109/miucc66482.2025.11196854
10.1109/nigercon62786.2024.10927368
10.1109/nmitcon62075.2024.10699100
10.1109/nrsc61581.2024.10510468
10.1109/seb4sdg60871.2024.10629694
10.1109/seb4sdg60871.2024.10629763
10.1109/seb4sdg60871.2024.10630063
10.1111/add.16122
10.1111/jep.14257
10.1128/msystems.00325-24
10.1142/s0218348x25501014
10.1145/3628797.3628974
10.1155/bmri/8074581
10.11591/ijai.v13.i4.pp4372-4379
10.11591/ijeecs.v34.i2.pp1010-1023
10.11648/j.ajtas.20241303.12
10.11648/j.wjph.20251003.17
10.1186/s12879-025-10738-4
10.1186/s12880-024-01241-4
10.1186/s12889-024-21039-x
10.1186/s12889-025-24139-4
10.1186/s12903-025-05419-2
10.1186/s12905-024-03232-7
10.1186/s12911-024-02688-9
10.1186/s12911-025-03176-4
10.1186/s13027-023-00536-5
10.1186/s40359-025-03830-6
10.1186/s40537-023-00817-1
10.1186/s43055-025-01443-y
10.1186/s44247-025-00190-4
10.1371/journal.pdig.0000308
10.1371/journal.pdig.0000345
10.1371/journal.pntd.0012736
10.1371/journal.pntd.0012879
10.1371/journal.pntd.0013234
10.1371/journal.pntd.0013295
10.1371/journal.pone.0288079
10.1371/journal.pone.0309816
10.1371/journal.pone.0320640
10.1371/journal.pone.0334528
10.1371/journal.pone.0335364
10.19139/soic-2310-5070-2811
10.2147/phmt.s427773
10.21608/aimj.2025.446551
10.21608/asc.2023.328067
10.21608/ijci.2023.236554.1143
10.21608/mjcis.2024.312462.1006
10.2174/0126662558327739240925073925
10.2196/40167
10.2196/66029
10.2196/69300
10.23919/ist-africa67297.2025.11060497
10.23919/ist-africa67297.2025.11060542
10.24085/jsaa.v13i2.5983
10.2478/pjmpe-2025-0021
10.26634/jds.2.2.20921
10.32604/cmc.2023.036322
10.32604/cmc.2023.043013
10.32604/cmes.2023.030806
10.32620/reks.2023.4.07
10.3389/fpubh.2024.1341279
10.3389/fpubh.2024.1366496
10.3389/fpubh.2025.1448055
10.3389/frai.2024.1397388
10.3390/app132312776
10.3390/bioengineering10050557
10.3390/bioengineering13010004
10.3390/computers14060212
10.3390/ddc4030035
10.3390/diagnostics13081506
10.3390/diagnostics13101744
10.3390/diagnostics15030267
10.3390/healthcare13202620
10.3390/info14010031
10.3390/info15120813
10.3390/jimaging11020031
10.3390/jimaging11070244
10.3390/onco5030034
10.3390/pathogens13110923
10.3390/s23062948
10.3390/s23167204
10.3390/s24196325
10.3390/s25061827
10.37432/jieph-confpro5-00109
10.3991/ijoe.v20i12.47773
10.4236/jcc.2024.1212008
10.4236/oalib.1114143
10.48084/etasr.7649
10.48175/ijarsct-22218
10.48175/ijarsct-22229
10.5334/cstp.724
10.57197/jdr-2023-0020
10.7759/s44389-025-06161-0
10.9734/acri/2025/v25i101556
10.1002/ima.23133
10.1002/jmv.70511
10.1007/s00521-024-10667-4
10.1007/s00521-024-10737-7
10.1007/s10278-024-01192-w
10.1007/s41870-024-01770-9
10.1007/s42452-024-06068-w
10.1007/s42452-025-08026-6
10.1007/s44163-024-00185-6
10.1016/j.aej.2025.07.015
10.1016/j.ard.2025.06.1585
10.1016/j.asej.2024.103241
10.1016/j.bspc.2024.106515
10.1016/j.bspc.2025.108204
10.1016/j.compbiolchem.2025.108627
10.1016/j.euroneuro.2025.08.284
10.1016/j.ibmed.2025.100254
10.1016/j.ibmed.2025.100275
10.1016/j.ijrobp.2024.07.1302
10.1016/j.imu.2025.101667
10.1016/j.ins.2024.121513
10.1016/j.jeph.2025.203087
10.1016/j.procs.2024.06.371
10.1016/j.procs.2024.11.119
10.1016/j.procs.2025.09.487
10.1016/j.rineng.2024.102985
