AUTHOR_KEY,AFFILIATION_REGION,HINDEX_OA,CITATIONS_OA,WORKS_COUNT_OA
oa:A5077554218,Outside Africa,22,3493,143
oa:A5020489079,Africa,22,1506,122
oa:A5046455089,Outside Africa,22,1600,145
oa:A5089572727,Africa,22,1888,205
oa:A5016105715,Africa,22,2126,80
oa:A5108115358,Outside Africa,22,1885,72
oa:A5075373448,Outside Africa,22,1681,97
oa:A5032782660,Outside Africa,22,1350,102
oa:A5003417758,Outside Africa,22,2203,180
oa:A5066524623,Outside Africa,22,1921,99
oa:A5060832078,Africa,22,1443,74
oa:A5026061150,Outside Africa,22,1701,197
oa:A5054682524,Outside Africa,22,5975,62
oa:A5084753027,Africa,22,13589,70
oa:A5040452344,Outside Africa,22,4487,89
oa:A5079841756,Outside Africa,22,1296,43
oa:A5040293217,Africa,22,1455,176
oa:A5068139709,Outside Africa,22,3663,55
oa:A5057933111,Outside Africa,22,1927,143
oa:A5027669249,Outside Africa,22,2067,74
oa:A5008474083,Outside Africa,22,1376,83
oa:A5062361489,Outside Africa,21,2127,147
oa:A5044414974,Outside Africa,21,1328,148
oa:A5088417627,Outside Africa,21,2723,92
oa:A5089860742,Outside Africa,21,1435,140
oa:A5002049672,Outside Africa,21,1077,152
oa:A5048004042,Outside Africa,21,1646,80
oa:A5083467752,Outside Africa,21,1449,124
oa:A5004006894,Outside Africa,21,1289,81
oa:A5048987562,Outside Africa,21,1873,172
oa:A5002089278,Outside Africa,21,2150,80
oa:A5086453659,Africa,21,1934,72
oa:A5048808444,Africa,21,1749,192
oa:A5058485751,Outside Africa,21,1389,85
oa:A5011533814,Outside Africa,21,1100,54
oa:A5003337398,Africa,21,1698,158
oa:A5078922899,Outside Africa,21,1775,131
oa:A5085584754,Outside Africa,21,1625,177
oa:A5034501136,Outside Africa,21,2741,113
oa:A5019064977,Outside Africa,21,4131,97
oa:A5071858197,Outside Africa,21,1512,95
oa:A5101404836,Outside Africa,21,1602,92
oa:A5032292618,Africa,21,1589,171
oa:A5101787006,Outside Africa,21,1182,79
oa:A5031916963,Africa,21,1690,231
oa:A5068423119,Outside Africa,21,1590,166
oa:A5087163018,Outside Africa,21,1160,83
oa:A5004601413,Africa,21,2687,280
oa:A5089836379,Africa,21,2163,146
oa:A5031075507,Africa,21,1590,157
oa:A5010701609,Africa,21,1796,152
oa:A5049069083,Outside Africa,21,1495,152
oa:A5034212319,Africa,21,1367,226
oa:A5002653511,Africa,21,1433,82
oa:A5062094722,Outside Africa,21,1265,52
oa:A5033965630,Africa,21,2234,273
oa:A5075393874,Outside Africa,21,1553,126
oa:A5048857332,Africa,21,2009,87
oa:A5072158680,Outside Africa,21,1557,73
oa:A5035949410,Outside Africa,21,1929,87
oa:A5022996923,Africa,21,4827,136
oa:A5036044217,Outside Africa,21,1595,92
oa:A5045334842,Outside Africa,21,1485,113
oa:A5108083842,Africa,21,1802,174
oa:A5043642086,Outside Africa,21,1409,91
oa:A5018234486,Africa,21,1535,127
oa:A5068299686,Outside Africa,21,1746,102
oa:A5061774158,Outside Africa,21,2429,148
oa:A5011255066,Outside Africa,21,1563,127
oa:A5007949063,Africa,21,2147,250
oa:A5083298939,Outside Africa,21,1260,50
oa:A5015622914,Outside Africa,21,1886,92
oa:A5003456566,Outside Africa,21,1499,43
oa:A5061513981,Africa,21,4509,132
oa:A5041917430,Outside Africa,21,1293,82
oa:A5026611227,Outside Africa,20,2487,42
oa:A5027679413,Africa,20,2036,44
oa:A5009038896,Outside Africa,20,1590,167
oa:A5081681417,Africa,20,2470,527
oa:A5003854117,Outside Africa,20,2497,82
oa:A5014770882,Outside Africa,20,1320,142
oa:A5015821976,Outside Africa,20,1238,89
oa:A5018240746,Africa,20,1078,85
oa:A5085557109,Africa,20,1311,91
oa:A5079173990,Africa,20,2041,125
oa:A5040941339,Outside Africa,20,1309,111
oa:A5009714276,Outside Africa,20,3130,63
oa:A5078385183,Outside Africa,20,4169,94
oa:A5080890392,Outside Africa,20,1181,81
oa:A5089089725,Outside Africa,20,1329,172
oa:A5006845149,Outside Africa,20,1338,74
oa:A5061451873,Africa,20,1655,69
oa:A5108035307,Africa,20,2183,122
oa:A5036884746,Outside Africa,20,1870,71
oa:A5008803333,Outside Africa,20,1476,70
oa:A5053189825,Outside Africa,20,1327,61
oa:A5056236437,Africa,20,1613,67
oa:A5052414483,Outside Africa,20,1554,137
oa:A5040414468,Outside Africa,20,1440,59
oa:A5059966547,Outside Africa,20,3529,100
oa:A5059768711,Outside Africa,20,949,71
oa:A5030798865,Outside Africa,20,2156,98
oa:A5059854961,Outside Africa,20,3058,63
oa:A5020065096,Outside Africa,20,1517,80
oa:A5033790924,Africa,20,2560,76
oa:A5078385183,Africa,20,4169,94
oa:A5089089725,Africa,20,1329,172
oa:A5037148832,Outside Africa,20,6708,66
oa:A5023169932,Outside Africa,20,1392,109
oa:A5005771034,Outside Africa,20,1254,104
oa:A5081607039,Africa,20,2530,139
oa:A5000493555,Outside Africa,20,1506,74
oa:A5073527453,Outside Africa,20,1784,52
oa:A5067414540,Outside Africa,20,3265,105
oa:A5062763435,Outside Africa,20,1864,149
oa:A5074397206,Outside Africa,20,1364,102
oa:A5102992295,Africa,20,1096,118
oa:A5008222517,Africa,20,1625,131
oa:A5022435059,Outside Africa,20,962,68
oa:A5000948403,Outside Africa,20,988,132
oa:A5019475584,Outside Africa,20,1209,114
oa:A5047156758,Africa,20,1598,120
oa:A5065043191,Outside Africa,20,1411,96
oa:A5059833700,Outside Africa,20,1638,80
oa:A5035713467,Africa,20,1553,148
oa:A5084584379,Outside Africa,20,1030,74
oa:A5037332714,Outside Africa,20,1239,103
oa:A5078607265,Outside Africa,20,1169,60
oa:A5077327092,Africa,20,1269,84
oa:A5059482414,Africa,20,1736,154
oa:A5083067091,Outside Africa,20,1348,129
oa:A5022724202,Africa,20,3016,147
oa:A5023383799,Africa,20,1946,54
oa:A5019045463,Outside Africa,20,1893,105
oa:A5022850491,Outside Africa,20,3729,83
oa:A5002426294,Outside Africa,20,1825,146
oa:A5082514217,Outside Africa,20,1227,108
oa:A5107944104,Africa,20,1947,40
oa:A5037558599,Africa,20,1557,245
oa:A5026392286,Outside Africa,20,1371,81
oa:A5036656481,Africa,20,1149,80
oa:A5041967162,Outside Africa,20,1496,114
oa:A5086504559,Outside Africa,20,1229,78
oa:A5039527755,Africa,20,1208,74
oa:A5040353704,Africa,20,1265,103
oa:A5027501036,Outside Africa,19,1003,61
oa:A5073502206,Outside Africa,19,1045,91
oa:A5029856197,Africa,19,1316,164
oa:A5087282694,Outside Africa,19,1180,75
oa:A5029078484,Outside Africa,19,2190,69
oa:A5076799915,Outside Africa,19,1235,67
oa:A5045428935,Africa,19,3110,69
oa:A5020497805,Outside Africa,19,1360,95
oa:A5083110733,Outside Africa,19,873,51
oa:A5072683932,Outside Africa,19,1598,63
oa:A5037301734,Outside Africa,19,1118,45
oa:A5026503131,Outside Africa,19,2562,45
oa:A5001254391,Outside Africa,19,1317,85
oa:A5100604467,Outside Africa,19,2125,107
oa:A5051206962,Africa,19,1032,96
oa:A5078431933,Outside Africa,19,817,47
oa:A5047221638,Africa,19,1486,175
oa:A5074203012,Africa,19,1326,104
oa:A5030346209,Outside Africa,19,1276,88
oa:A5036321926,Africa,19,1351,151
oa:A5078503824,Outside Africa,19,1636,42
oa:A5010863688,Outside Africa,19,1262,91
oa:A5063580605,Outside Africa,19,1182,104
oa:A5024079346,Africa,19,1471,84
oa:A5073502206,Africa,19,1045,91
oa:A5050773664,Outside Africa,19,1380,91
oa:A5076062459,Outside Africa,19,1889,81
oa:A5100370035,Outside Africa,19,1144,83
oa:A5108141329,Outside Africa,19,1521,67
oa:A5081328154,Outside Africa,19,985,80
oa:A5060163623,Outside Africa,19,1388,96
oa:A5078354205,Outside Africa,19,1178,77
oa:A5086147319,Africa,19,2073,55
oa:A5001630272,Africa,19,1563,114
oa:A5004913719,Outside Africa,19,1408,198
oa:A5064399330,Africa,19,1749,137
oa:A5110844978,Outside Africa,19,4781,49
oa:A5074064096,Africa,19,1086,63
oa:A5000754185,Outside Africa,19,1523,81
oa:A5044914031,Africa,19,1389,121
oa:A5043699654,Outside Africa,19,1061,63
oa:A5049421261,Outside Africa,19,3146,81
oa:A5086906651,Outside Africa,19,1310,59
oa:A5022893300,Outside Africa,19,1473,41
oa:A5031810108,Outside Africa,19,1362,150
oa:A5066714548,Outside Africa,19,1199,188
oa:A5013317917,Outside Africa,19,1425,126
oa:A5069263199,Africa,19,1074,49
oa:A5015679036,Africa,19,1707,176
oa:A5051707406,Outside Africa,19,2396,72
oa:A5100319529,Outside Africa,19,1468,120
oa:A5110385407,Outside Africa,19,1977,83
oa:A5069389579,Africa,19,1475,58
oa:A5017447018,Africa,19,1293,79
oa:A5051301385,Africa,19,1292,162
oa:A5035445211,Outside Africa,19,1578,64
oa:A5025810152,Outside Africa,19,1286,92
oa:A5043085840,Outside Africa,19,1286,87
oa:A5113428308,Outside Africa,19,1298,80
oa:A5013997143,Outside Africa,19,1011,59
oa:A5022367962,Africa,19,1204,138
oa:A5003453374,Africa,19,1015,159
oa:A5007376545,Africa,19,1042,52
oa:A5016063378,Outside Africa,19,722,39
oa:A5072552093,Outside Africa,19,2122,274
oa:A5035034619,Outside Africa,19,1236,97
oa:A5013536676,Outside Africa,18,1073,95
oa:A5004125265,Outside Africa,18,1939,59
oa:A5107063394,Africa,18,1059,93
oa:A5045573738,Outside Africa,18,1142,52
oa:A5061517602,Outside Africa,18,1082,39
oa:A5111136333,Outside Africa,18,1724,33
oa:A5022700946,Africa,18,1800,228
oa:A5064116207,Africa,18,1638,85
oa:A5076353172,Outside Africa,18,981,64
oa:A5013812373,Africa,18,1712,57
oa:A5036775751,Outside Africa,18,819,70
oa:A5022772499,Outside Africa,18,1000,48
oa:A5091256982,Outside Africa,18,993,51
oa:A5063985986,Outside Africa,18,1120,80
oa:A5057812462,Outside Africa,18,1408,49
oa:A5034214716,Africa,18,1142,107
oa:A5101939241,Outside Africa,18,1104,66
oa:A5103247728,Africa,18,1139,71
oa:A5085720726,Outside Africa,18,1403,232
oa:A5077795722,Outside Africa,18,1169,107
oa:A5022507170,Outside Africa,18,1094,95
oa:A5048349214,Africa,18,1462,59
oa:A5010365975,Outside Africa,18,1843,140
oa:A5027917556,Africa,18,1374,97
oa:A5065557495,Outside Africa,18,1187,73
oa:A5058566646,Outside Africa,18,1404,130
oa:A5054767601,Outside Africa,18,946,69
oa:A5070703366,Africa,18,964,39
oa:A5025073263,Africa,18,1266,77
oa:A5101695788,Outside Africa,18,830,77
oa:A5007230088,Outside Africa,18,1330,110
oa:A5073138968,Outside Africa,18,1273,137
oa:A5040483596,Outside Africa,18,1106,97
oa:A5004989050,Outside Africa,18,1091,62
oa:A5014832215,Outside Africa,18,912,63
oa:A5022712723,Africa,18,2005,70
oa:A5088318159,Africa,18,1821,128
oa:A5070258027,Outside Africa,18,1057,69
oa:A5066205115,Africa,18,963,56
oa:A5100748044,Outside Africa,18,1262,127
oa:A5039624344,Outside Africa,18,1111,118
oa:A5007302138,Africa,18,1406,76
oa:A5074799178,Outside Africa,18,2400,34
oa:A5090007287,Outside Africa,18,972,96
oa:A5059176776,Outside Africa,18,1073,90
oa:A5068492732,Outside Africa,18,1208,114
oa:A5067525029,Africa,18,1571,224
oa:A5069483548,Africa,18,874,75
oa:A5100349675,Outside Africa,18,1276,102
oa:A5066153816,Outside Africa,18,1692,62
oa:A5035273604,Africa,18,749,39
oa:A5034587442,Africa,18,1400,119
oa:A5043327045,Africa,18,1047,143
oa:A5059775848,Africa,18,1396,65
oa:A5088123201,Africa,18,850,64
oa:A5085340829,Outside Africa,18,1514,123
oa:A5113961245,Africa,18,1020,63
oa:A5018407314,Outside Africa,18,1182,73
oa:A5087761119,Africa,18,1440,90
oa:A5080923440,Africa,18,1605,66
oa:A5047234240,Outside Africa,18,602,51
oa:A5010115537,Outside Africa,18,1284,64
oa:A5039049891,Africa,18,1331,268
oa:A5089206286,Africa,18,918,131
oa:A5053164563,Outside Africa,18,1321,76
oa:A5006983633,Africa,18,916,43
oa:A5006883497,Africa,18,1101,132
oa:A5007021582,Africa,18,1502,55
oa:A5051570440,Outside Africa,18,1440,44
oa:A5022544488,Outside Africa,18,2668,45
oa:A5112666695,Africa,18,1051,56
oa:A5010365975,Africa,18,1843,140
oa:A5039522245,Outside Africa,18,1105,165
oa:A5056819908,Outside Africa,18,985,112
oa:A5062907646,Outside Africa,18,1158,83
oa:A5087745944,Outside Africa,18,1113,91
oa:A5011931434,Africa,18,1147,61
oa:A5033159072,Africa,18,1391,55
oa:A5047169151,Africa,18,1260,126
oa:A5020730504,Africa,17,893,52
oa:A5031996342,Outside Africa,17,1739,58
oa:A5059608425,Africa,17,984,92
oa:A5089844476,Africa,17,1065,81
oa:A5045497916,Africa,17,789,69
oa:A5009527445,Outside Africa,17,887,80
oa:A5010506601,Outside Africa,17,1046,118
oa:A5009330006,Africa,17,514,41
oa:A5045292141,Africa,17,1197,58
oa:A5078056378,Outside Africa,17,759,37
oa:A5018019909,Outside Africa,17,1111,63
oa:A5004188907,Outside Africa,17,830,79
oa:A5060205753,Outside Africa,17,971,96
oa:A5043541732,Africa,17,891,39
oa:A5062253981,Outside Africa,17,1098,110
oa:A5111843626,Africa,17,862,44
oa:A5033675600,Outside Africa,17,3053,69
oa:A5030710123,Africa,17,1391,93
oa:A5054415369,Outside Africa,17,1183,49
oa:A5059608425,Outside Africa,17,984,92
oa:A5048354403,Africa,17,1052,71
oa:A5091140263,Africa,17,673,58
oa:A5059113201,Outside Africa,17,1382,200
oa:A5003846269,Africa,17,2609,79
oa:A5102728770,Africa,17,805,53
oa:A5068015690,Africa,17,938,57
oa:A5041052362,Africa,17,668,140
oa:A5009771131,Africa,17,819,84
oa:A5043541732,Outside Africa,17,891,39
oa:A5058028332,Outside Africa,17,1020,59
oa:A5052023503,Outside Africa,17,816,39
oa:A5086629476,Outside Africa,17,1294,212
oa:A5045292141,Outside Africa,17,1197,58
oa:A5001288599,Outside Africa,17,787,41
oa:A5039887086,Outside Africa,17,932,59
oa:A5004487353,Outside Africa,17,968,105
oa:A5070436157,Africa,17,1232,42
oa:A5049304509,Outside Africa,17,1107,53
oa:A5089800031,Outside Africa,17,1011,72
oa:A5024078635,Outside Africa,17,1015,75
oa:A5052783037,Africa,17,718,64
oa:A5053407644,Outside Africa,17,1106,148
oa:A5080377353,Outside Africa,17,1585,103
oa:A5015588151,Outside Africa,17,1294,53
oa:A5058554886,Outside Africa,17,1218,112
oa:A5056052441,Africa,17,4450,61
oa:A5087117994,Africa,17,892,96
oa:A5041430688,Outside Africa,17,853,95
oa:A5003217811,Africa,17,799,57
oa:A5013167287,Outside Africa,17,1100,71
oa:A5085485780,Outside Africa,17,1137,65
oa:A5027052233,Outside Africa,17,876,107
oa:A5035987641,Outside Africa,17,821,43
oa:A5075521683,Outside Africa,17,1217,64
oa:A5021604305,Africa,17,977,83
oa:A5029342970,Africa,17,1029,73
oa:A5009358077,Outside Africa,17,1413,284
oa:A5086413792,Africa,17,1073,163
oa:A5012061485,Outside Africa,17,888,63
oa:A5064263474,Africa,17,1186,166
oa:A5036161924,Outside Africa,17,817,43
oa:A5112452680,Outside Africa,17,906,60
oa:A5089773546,Outside Africa,17,980,187
oa:A5001835000,Outside Africa,17,1038,106
oa:A5101893567,Outside Africa,17,792,92
oa:A5078449573,Outside Africa,17,762,78
oa:A5045239415,Outside Africa,17,2120,64
oa:A5041962112,Africa,17,689,64
oa:A5071673808,Outside Africa,17,2281,54
oa:A5014019258,Africa,17,1152,139
oa:A5057276242,Africa,17,799,91
oa:A5020566179,Outside Africa,17,910,65
oa:A5093685928,Outside Africa,17,598,27
oa:A5051655489,Outside Africa,17,800,60
oa:A5044186969,Africa,17,3174,37
oa:A5046634196,Outside Africa,17,1065,59
oa:A5054384505,Outside Africa,17,1187,62
oa:A5003754106,Outside Africa,17,1389,257
oa:A5080366536,Outside Africa,17,1527,63
oa:A5047792793,Outside Africa,17,980,88
oa:A5075822637,Outside Africa,17,1011,78
oa:A5069238097,Outside Africa,17,780,45
oa:A5078284854,Africa,17,831,76
oa:A5102934254,Outside Africa,17,5789,24
oa:A5064671722,Outside Africa,17,912,42
oa:A5047689197,Outside Africa,17,936,118
oa:A5019272450,Outside Africa,17,931,56
oa:A5043632899,Outside Africa,17,843,114
oa:A5079325992,Africa,17,892,49
oa:A5089944098,Africa,17,652,86
oa:A5023666797,Outside Africa,17,838,77
oa:A5091350123,Outside Africa,17,832,58
oa:A5108314932,Outside Africa,17,1315,74
oa:A5047864284,Outside Africa,17,1261,56
oa:A5112599635,Outside Africa,17,1337,229
oa:A5071123496,Outside Africa,17,1051,68
oa:A5061475873,Africa,17,878,42
oa:A5053722497,Outside Africa,16,1018,200
oa:A5073979327,Africa,16,798,50
oa:A5034745758,Outside Africa,16,982,71
oa:A5068559381,Outside Africa,16,1461,183
oa:A5055664696,Africa,16,1036,69
oa:A5080501948,Outside Africa,16,942,327
oa:A5059183000,Africa,16,1926,34
oa:A5056642921,Outside Africa,16,683,55
oa:A5024732617,Outside Africa,16,814,56
oa:A5035774652,Africa,16,1255,157
oa:A5000019246,Outside Africa,16,1136,181
oa:A5060367797,Africa,16,1023,32
oa:A5028269091,Outside Africa,16,979,90
oa:A5027327484,Africa,16,1144,42
oa:A5078995174,Africa,16,754,100
oa:A5077378537,Africa,16,708,82
oa:A5082912139,Africa,16,711,40
oa:A5024601930,Africa,16,1461,56
oa:A5024074396,Africa,16,803,32
oa:A5073675632,Africa,16,658,54
oa:A5025108500,Africa,16,668,61
oa:A5090941935,Africa,16,993,166
oa:A5054456648,Outside Africa,16,785,158
oa:A5008664721,Outside Africa,16,738,88
oa:A5045308728,Outside Africa,16,701,44
oa:A5037232502,Africa,16,1165,48
oa:A5080820663,Outside Africa,16,651,68
oa:A5022531377,Outside Africa,16,682,61
oa:A5101535145,Outside Africa,16,2763,144
oa:A5102632157,Outside Africa,16,896,95
oa:A5029527850,Outside Africa,16,824,50
oa:A5048996304,Outside Africa,16,1169,79
oa:A5002282538,Outside Africa,16,910,69
oa:A5062215909,Outside Africa,16,996,104
oa:A5108188256,Outside Africa,16,1221,129
oa:A5060590239,Africa,16,709,82
oa:A5012605027,Outside Africa,16,732,59
oa:A5042385111,Africa,16,528,76
oa:A5070050744,Outside Africa,16,999,118
oa:A5021472424,Outside Africa,16,851,51
oa:A5014805400,Africa,16,846,41
oa:A5017051493,Outside Africa,16,1135,167
oa:A5060442790,Africa,16,997,61
oa:A5033215653,Outside Africa,16,1196,204
oa:A5056557906,Outside Africa,16,824,35
oa:A5087830425,Africa,16,1326,106
oa:A5020261885,Outside Africa,16,2194,45
oa:A5032151401,Africa,16,1140,32
oa:A5080231994,Outside Africa,16,1289,47
oa:A5049385580,Outside Africa,16,1236,57
oa:A5047871182,Africa,16,4776,98
oa:A5000565224,Africa,16,1154,151
oa:A5091849555,Africa,16,885,67
oa:A5100761320,Outside Africa,16,777,93
oa:A5037962292,Africa,16,1535,222
oa:A5036199456,Outside Africa,16,939,84
oa:A5068396715,Outside Africa,16,958,77
oa:A5043394491,Africa,16,1058,51
oa:A5039778903,Africa,16,2307,45
oa:A5077660692,Outside Africa,16,698,61
oa:A5008643568,Outside Africa,16,1026,63
oa:A5100641654,Africa,16,1248,84
oa:A5090363326,Africa,16,1632,87
oa:A5074562873,Africa,16,1558,51
oa:A5067355239,Outside Africa,16,1087,53
oa:A5046054624,Outside Africa,16,996,63
oa:A5089245981,Outside Africa,16,2221,42
oa:A5090276180,Africa,16,911,68
oa:A5018348428,Outside Africa,16,733,45
oa:A5059985408,Outside Africa,16,941,59
oa:A5087545322,Africa,16,1166,54
oa:A5088496102,Outside Africa,16,877,54
oa:A5046054624,Africa,16,996,63
oa:A5016111451,Outside Africa,16,941,83
oa:A5042297005,Outside Africa,16,693,36
oa:A5075201943,Africa,16,1298,209
oa:A5022553548,Africa,16,1026,56
oa:A5080624294,Outside Africa,16,822,42
oa:A5037507637,Africa,16,798,71
oa:A5073912010,Africa,16,725,118
oa:A5018728549,Africa,16,710,54
oa:A5043966476,Africa,16,1381,53
oa:A5108136009,Outside Africa,16,1266,58
oa:A5052531211,Africa,16,915,78
oa:A5077159920,Africa,16,674,119
oa:A5028215670,Outside Africa,16,757,53
oa:A5048782541,Outside Africa,16,1171,81
oa:A5086355869,Outside Africa,16,740,35
oa:A5110640999,Africa,16,1011,325
oa:A5081993927,Outside Africa,16,989,65
oa:A5025241203,Outside Africa,16,1156,56
oa:A5035582844,Outside Africa,16,986,76
oa:A5002031487,Africa,16,714,52
oa:A5070323859,Outside Africa,16,809,104
oa:A5107914363,Africa,16,852,53
oa:A5085785345,Outside Africa,16,1288,108
oa:A5067732180,Africa,16,965,102
oa:A5100709970,Outside Africa,16,805,138
oa:A5057263684,Outside Africa,16,599,54
oa:A5060137014,Africa,15,812,58
oa:A5078946518,Africa,15,675,40
oa:A5000227569,Africa,15,1537,41
oa:A5026674783,Africa,15,1025,60
oa:A5073043046,Outside Africa,15,769,37
oa:A5026724160,Africa,15,970,74
oa:A5063251144,Outside Africa,15,518,41
oa:A5059393532,Outside Africa,15,764,74
oa:A5086981275,Africa,15,776,90
oa:A5103164997,Africa,15,768,149
oa:A5057967037,Outside Africa,15,667,93
oa:A5085172070,Africa,15,747,57
oa:A5022437392,Outside Africa,15,998,52
oa:A5036088246,Africa,15,654,77
oa:A5071630040,Africa,15,2532,138
oa:A5104975347,Outside Africa,15,475,19
oa:A5010667657,Africa,15,741,70
oa:A5019281122,Africa,15,1092,86
oa:A5006750466,Africa,15,742,54
oa:A5046106016,Outside Africa,15,1614,83
oa:A5080811465,Africa,15,452,33
oa:A5004234593,Africa,15,649,50
oa:A5037293810,Outside Africa,15,642,54
oa:A5070924512,Outside Africa,15,1527,45
oa:A5027236625,Outside Africa,15,887,38
oa:A5106466181,Outside Africa,15,899,258
oa:A5077383107,Africa,15,714,61
oa:A5055546555,Outside Africa,15,866,41
oa:A5088482440,Outside Africa,15,1138,79
oa:A5054121961,Outside Africa,15,591,80
oa:A5080544479,Africa,15,1675,46
oa:A5057719732,Outside Africa,15,558,53
oa:A5083232704,Africa,15,646,68
oa:A5075218669,Africa,15,1995,263
oa:A5068044579,Africa,15,723,113
oa:A5002601833,Africa,15,655,66
oa:A5057797349,Africa,15,829,103
oa:A5001944701,Outside Africa,15,828,115
oa:A5074362667,Africa,15,901,76
oa:A5050308240,Africa,15,699,127
oa:A5001460741,Outside Africa,15,765,52
oa:A5048888149,Outside Africa,15,791,37
oa:A5077504804,Africa,15,1349,155
oa:A5062752706,Africa,15,878,34
oa:A5068060711,Africa,15,1402,158
oa:A5035640144,Outside Africa,15,593,69
oa:A5087710155,Outside Africa,15,902,45
oa:A5054710748,Outside Africa,15,441,46
oa:A5038738652,Outside Africa,15,5958,20
oa:A5008189820,Outside Africa,15,911,41
oa:A5000099609,Outside Africa,15,625,90
oa:A5014403727,Africa,15,6659,79
oa:A5045486910,Africa,15,1810,46
oa:A5088419060,Outside Africa,15,1280,39
oa:A5065574299,Outside Africa,15,838,37
oa:A5064259252,Africa,15,1134,50
oa:A5100740450,Outside Africa,15,1082,42
oa:A5057055069,Outside Africa,15,992,154
oa:A5076050770,Outside Africa,15,890,81
oa:A5070375172,Outside Africa,15,559,51
oa:A5070501516,Outside Africa,15,604,66
oa:A5101435089,Africa,15,697,126
oa:A5101794737,Africa,15,702,93
oa:A5114158935,Africa,15,591,58
oa:A5067336453,Outside Africa,15,690,87
oa:A5003549657,Outside Africa,15,816,122
oa:A5074346105,Outside Africa,15,672,107
oa:A5078946518,Outside Africa,15,675,40
oa:A5101443116,Outside Africa,15,1281,41
oa:A5073311864,Africa,15,555,49
oa:A5086873572,Outside Africa,15,938,93
oa:A5002339773,Outside Africa,15,709,55
oa:A5029475975,Outside Africa,15,1424,58
oa:A5084501914,Africa,15,1143,85
oa:A5029232479,Outside Africa,15,1470,30
oa:A5103100460,Outside Africa,15,737,133
oa:A5005630565,Outside Africa,15,4629,35
oa:A5073000204,Outside Africa,15,1005,110
oa:A5028557268,Africa,15,951,148
oa:A5007831491,Outside Africa,15,1492,151
oa:A5087637673,Africa,15,710,111
oa:A5063976920,Africa,15,591,61
oa:A5025355612,Outside Africa,15,688,115
oa:A5019582829,Africa,15,494,49
oa:A5060601745,Africa,15,724,62
oa:A5084137581,Africa,15,1116,97
oa:A5019772342,Africa,15,737,36
oa:A5110189499,Africa,15,957,101
oa:A5085975641,Africa,15,1083,151
oa:A5076545321,Outside Africa,15,725,44
oa:A5102872939,Africa,15,700,223
oa:A5004830042,Outside Africa,15,689,59
oa:A5048086475,Outside Africa,15,913,48
oa:A5056671289,Africa,15,1099,52
oa:A5075481881,Outside Africa,15,924,119
oa:A5028068954,Africa,15,1226,37
oa:A5063173228,Outside Africa,15,796,63
oa:A5047440961,Africa,15,1829,89
oa:A5069217714,Africa,15,1000,89
oa:A5044690353,Africa,15,834,147
oa:A5081153578,Africa,15,806,39
oa:A5062903883,Africa,15,955,38
oa:A5110966521,Outside Africa,14,629,35
oa:A5043900706,Africa,14,748,130
oa:A5041823641,Africa,14,384,47
oa:A5088011624,Outside Africa,14,833,73
oa:A5027687158,Africa,14,790,153
oa:A5050345107,Outside Africa,14,806,134
oa:A5046476281,Outside Africa,14,835,72
oa:A5056565835,Africa,14,482,85
oa:A5058071041,Africa,14,853,66
oa:A5066935011,Outside Africa,14,1274,72
oa:A5090597943,Outside Africa,14,1023,36
oa:A5101588988,Outside Africa,14,905,54
oa:A5023376088,Outside Africa,14,722,117
oa:A5102851104,Outside Africa,14,652,72
oa:A5076345517,Africa,14,591,72
oa:A5003433250,Africa,14,661,29
oa:A5061885046,Outside Africa,14,835,49
oa:A5043283568,Outside Africa,14,720,51
oa:A5017830049,Africa,14,490,67
oa:A5006965550,Africa,14,781,62
oa:A5055565936,Outside Africa,14,695,47
oa:A5017173021,Africa,14,842,119
oa:A5024651807,Africa,14,825,62
oa:A5113820615,Outside Africa,14,1177,35
oa:A5065227843,Africa,14,639,82
oa:A5087053249,Outside Africa,14,642,78
oa:A5024306166,Outside Africa,14,691,100
oa:A5037428435,Outside Africa,14,1049,89
oa:A5044689198,Outside Africa,14,499,41
oa:A5065907326,Africa,14,484,40
oa:A5052378073,Outside Africa,14,602,62
oa:A5042785802,Africa,14,1190,202
oa:A5050805123,Outside Africa,14,572,64
oa:A5048004422,Africa,14,545,24
oa:A5061751653,Africa,14,1433,66
oa:A5041655108,Africa,14,775,57
oa:A5079537589,Africa,14,780,123
oa:A5020024746,Outside Africa,14,927,103
oa:A5028615112,Outside Africa,14,746,70
oa:A5032129576,Africa,14,622,17
oa:A5103491381,Outside Africa,14,783,131
oa:A5043631730,Outside Africa,14,793,63
oa:A5031696569,Outside Africa,14,747,82
oa:A5019440791,Outside Africa,14,1408,50
oa:A5009313293,Africa,14,599,87
oa:A5066906828,Africa,14,585,57
oa:A5000493273,Outside Africa,14,726,45
oa:A5074837496,Africa,14,603,48
oa:A5057507485,Africa,14,723,125
oa:A5004352908,Africa,14,638,85
oa:A5063588218,Outside Africa,14,842,53
oa:A5023241696,Outside Africa,14,765,34
oa:A5071487702,Africa,14,698,75
oa:A5015700815,Africa,14,728,122
oa:A5078234092,Africa,14,654,57
oa:A5111855777,Outside Africa,14,1237,98
oa:A5068159855,Outside Africa,14,593,48
oa:A5066552197,Outside Africa,14,588,44
oa:A5078381769,Africa,14,938,63
oa:A5054520204,Outside Africa,14,677,41
oa:A5075873400,Outside Africa,14,494,47
oa:A5001288245,Outside Africa,14,834,150
oa:A5060260135,Africa,14,670,47
